"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Altuve, Jose","514888","2020","210",".230",".349",".278",".288",".296",".119",".299",".313",,24.8,4.6,33.3,67.9,35.3,20.2,"153"
"Reyes, Victor","622682","2020","213",".287",".430",".307",".329",".324",".143",".367",".398",,39.5,3.8,41.4,69.4,41.5,26.4,"157"
"Rendon, Anthony","543685","2020","232",".287",".469",".395",".390",".420",".182",".393",".385",,39.2,6.3,40.5,66.8,16.7,14.7,"158"
"Biggio, Cavan","624415","2020","265",".214",".343",".355",".315",".345",".129",".396",".328",,31.4,5,30.8,59.6,13.7,23,"159"
"Dickerson, Corey","572816","2020","210",".248",".396",".308",".305",".303",".148",".341",".337",,25.8,5.7,30.8,73.7,33.2,25.7,"159"
"Voit III, Luke","572228","2020","234",".279",".586",".393",".389",".340",".308",".487",".482",,37.5,13.1,40,79.2,27.5,27.6,"160"
"McNeil, Jeff","643446","2020","209",".277",".407",".360",".337",".355",".130",".368",".339",,37,2.5,26.5,83.1,32.4,17.5,"162"
"Gurriel Jr., Lourdes","666971","2020","224",".281",".486",".372",".347",".325",".205",".454",".420",,39.5,11.7,49.4,70.7,33.9,26.3,"162"
"Bogaerts, Xander","593428","2020","225",".258",".471",".368",".340",".327",".213",".422",".385",,31.3,8.6,36.8,64.3,23.7,23,"163"
"Flores, Wilmer","527038","2020","213",".245",".430",".347",".309",".294",".185",".396",".346",,37.4,6.1,34.4,69.4,29.8,17.8,"163"
"Escobar, Eduardo","500871","2020","222",".263",".396",".257",".306",".317",".133",".286",".351",,34.8,5.5,31.7,70.3,35.2,21.6,"164"
"Tatis Jr., Fernando","665487","2020","257",".297",".614",".392",".422",".386",".317",".479",".526",,32.3,19.5,62.2,71.8,26.1,28.2,"164"
"Crawford, J.P.","641487","2020","232",".257",".360",".303",".318",".343",".103",".311",".333",,34.1,1.8,31.1,58.3,22.9,18.2,"167"
"Solak, Nick","669256","2020","233",".264",".388",".297",".318",".326",".124",".323",".351",,27.5,4.7,40.4,64.1,24.2,19.1,"171"
"Story, Trevor","596115","2020","259",".253",".457",".370",".335",".323",".204",".462",".410",,40.1,8.7,41.3,66.6,28.2,25.7,"172"
"Rosario, Eddie","592696","2020","231",".246",".437",".333",".318",".307",".192",".362",".342",,30.3,6.2,35.4,70.1,39.6,22.6,"178"
"Kiner-Falefa, Isiah","643396","2020","228",".260",".340",".307",".294",".312",".080",".327",".310",,22.2,2.2,31.1,65.5,27.4,15.8,"180"
"Blackmon, Charlie","453568","2020","247",".276",".426",".340",".331",".340",".150",".388",".377",,38.5,4.9,29.7,70.2,29.8,23.3,"182"
"Abreu, José","547989","2020","262",".299",".587",".411",".399",".357",".288",".512",".494",,37.4,14.3,53.3,68.6,32.3,30.1,"182"
"Betts, Mookie","605141","2020","246",".283",".485",".390",".362",".359",".202",".428",".392",,40.1,7.7,43.4,58,23.2,13.8,"182"
"Fletcher, David","664058","2020","230",".292",".351",".350",".316",".352",".059",".360",".317",,30.8,0.5,17.8,47.3,26,8.6,"185"
"Marte, Starling","516782","2020","250",".264",".420",".333",".326",".326",".156",".366",".357",,30.3,6.4,30.3,73,34.9,25.4,"188"
"Gurriel Jr., Yuli","493329","2020","230",".265",".408",".281",".318",".314",".143",".290",".335",,34.4,3.7,36.5,66,34.4,15.6,"189"
"Franco, Maikel","596748","2020","243",".256",".398",".329",".307",".305",".142",".366",".338",,33.3,5.8,38.6,71.4,32.8,24.6,"189"
"Lindor, Francisco","596019","2020","266",".279",".441",".324",".346",".356",".162",".341",".371",,36.5,5.6,41.1,72.3,30,20.3,"197"
"Turner, Trea","607208","2020","259",".303",".515",".413",".383",".369",".212",".452",".415",,34.2,9.5,40.7,67.5,27.2,19.6,"199"
"Merrifield, Whit","593160","2020","265",".292",".439",".329",".336",".334",".146",".351",".360",,39.8,5.1,27.3,71.8,28,16.3,"216"
