"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Smith, Will",669257,2022,578,0.257,0.473,0.349,0.352,0.341,0.216,0.378,0.382,,36.8,10.3,43.0,63.7,21.3,19.3,416,103.95,42.400000000000006
"Suwinski, Jack",669261,2022,372,0.204,0.393,0.311,0.307,0.3,0.189,0.399,0.392,,26.3,12.2,40.4,61.1,24.5,30.6,213,106.43,36.6
"Espinal, Santiago",669289,2022,491,0.263,0.348,0.305,0.298,0.319,0.085,0.322,0.313,,33.8,3.4,31.7,67.1,25.6,15.6,385,100.96000000000001,41.49999999999999
"Miranda, Jose",669304,2022,483,0.253,0.41,0.329,0.317,0.312,0.157,0.374,0.358,,34.2,6.2,42.4,72.5,32.7,24.3,354,103.68,39.8
"Hays, Austin",669720,2022,582,0.24,0.372,0.314,0.298,0.298,0.132,0.359,0.337,,32.3,5.2,37.7,67.7,36.2,23.5,424,103.27000000000001,31.5
"Lopez, Nicky",670032,2022,480,0.243,0.312,0.251,0.273,0.296,0.069,0.254,0.282,,31.3,1.6,22.9,67.8,30.0,17.3,384,98.50999999999999,37.8
"Alvarez, Yordan",670541,2022,561,0.326,0.669,0.427,0.46,0.427,0.343,0.495,0.544,,40.7,21.0,59.8,63.7,24.8,23.5,371,109.91000000000001,38.900000000000006
"Paredes, Isaac",670623,2022,381,0.21,0.348,0.323,0.297,0.31,0.138,0.338,0.301,,27.4,6.4,38.7,60.7,20.5,16.5,266,102.52,40.2
"Walls, Taylor",670764,2022,466,0.193,0.301,0.252,0.268,0.287,0.107,0.275,0.3,,32.6,6.2,28.5,64.9,19.8,25.5,291,100.4,45.10000000000001
"González, Luis",670768,2022,350,0.215,0.306,0.299,0.268,0.289,0.091,0.338,0.294,,27.0,2.9,32.0,68.0,26.0,23.3,241,101.1,42.0
"García, Luis",671277,2022,377,0.26,0.409,0.303,0.305,0.285,0.149,0.378,0.381,,37.4,7.5,36.7,67.6,40.8,27.1,281,103.7,26.799999999999997
"Harris II, Michael",671739,2022,441,0.268,0.46,0.368,0.335,0.312,0.192,0.468,0.422,,32.8,10.1,45.1,67.2,39.0,28.1,308,108.34,28.200000000000003
"Kirk, Alejandro",672386,2022,541,0.278,0.431,0.347,0.351,0.367,0.153,0.342,0.347,,32.0,6.7,45.4,59.6,23.3,15.4,416,105.1,36.3
