last_name,first_name,player_id,year,PA,wOBA,xwOBA,xBA,xSLG,Barrel%,HardHit%,O-Contact%,Z-Contact%,O-Swing%,Z-Swing%,Whiff%,Z-O Swing%,Pulled FB%,EV90,Sweet Spot%,Bat Speed
McNeil,Jeff,643446.0,2024,472,0.304,0.288,0.235,0.336,0.031,0.311,0.703,0.9159999999999999,0.349,0.802,0.087,0.45300000000000007,10.277777777777777,101.1,32.22222222222222,66.52460850111858
Turner,Justin,457759.0,2024,539,0.327,0.328,0.252,0.383,0.046,0.325,0.768,0.895,0.28600000000000003,0.674,0.068,0.388,13.978494623655912,100.19000000000001,40.32258064516129,63.33807531380753
Goldschmidt,Paul,502671.0,2024,654,0.31,0.329,0.255,0.45,0.106,0.491,0.6559999999999999,0.8059999999999999,0.32299999999999995,0.672,0.11900000000000001,0.3490000000000001,12.149532710280374,105.45,35.280373831775705,71.17442810457516
Bader,Harrison,664056.0,2024,437,0.285,0.295,0.243,0.378,0.064,0.355,0.632,0.894,0.36,0.618,0.105,0.258,9.904153354632587,103.44,34.82428115015975,69.17223001402525
Taveras,Leody,665750.0,2024,529,0.282,0.295,0.24,0.368,0.059000000000000004,0.355,0.595,0.856,0.317,0.7090000000000001,0.11699999999999999,0.39200000000000007,14.399999999999999,104.7,32.800000000000004,69.00043956043956
Garcia,Maikel,672580.0,2024,626,0.27,0.3,0.26,0.366,0.037000000000000005,0.428,0.732,0.914,0.248,0.652,0.062,0.404,11.01871101871102,104.0,34.92723492723493,68.52710084033613
Soler,Jorge,624585.0,2024,574,0.34,0.347,0.245,0.448,0.125,0.43700000000000006,0.539,0.857,0.298,0.665,0.121,0.36700000000000005,12.07865168539326,108.0,33.98876404494382,73.81122554067973
Wong,Connor,657136.0,2024,487,0.33,0.288,0.231,0.355,0.063,0.345,0.545,0.8420000000000001,0.33299999999999996,0.741,0.136,0.40800000000000003,11.30952380952381,104.1,30.654761904761905,70.21919302071974
Arraez,Luis,650333.0,2024,672,0.323,0.325,0.31,0.4,0.016,0.237,0.907,0.966,0.368,0.647,0.028999999999999998,0.279,15.548281505728315,97.9,41.734860883797054,61.373041044776116
Springer,George,543807.0,2024,614,0.298,0.322,0.244,0.402,0.092,0.37200000000000005,0.615,0.8440000000000001,0.284,0.753,0.113,0.46900000000000003,11.805555555555555,105.4,29.629629629629626,69.59012345679012
Dubon,Mauricio,643289.0,2024,428,0.286,0.272,0.248,0.33,0.027999999999999997,0.265,0.7879999999999999,0.8690000000000001,0.445,0.815,0.099,0.36999999999999994,14.366197183098592,100.2,30.985915492957744,67.26085918854415
Rocchio,Brayan,677587.0,2024,442,0.276,0.275,0.21,0.302,0.04,0.223,0.6709999999999999,0.871,0.326,0.6779999999999999,0.099,0.3519999999999999,14.333333333333334,100.32,36.0,66.22557200538358
Rojas,Johan,679032.0,2024,363,0.265,0.25,0.225,0.292,0.025,0.27399999999999997,0.6859999999999999,0.866,0.35700000000000004,0.627,0.1,0.26999999999999996,10.108303249097473,102.3,22.382671480144403,67.00818030050083
Miranda,Jose,669304.0,2024,429,0.328,0.306,0.259,0.399,0.059000000000000004,0.389,0.669,0.9,0.384,0.731,0.106,0.347,10.029498525073747,103.22,34.21828908554572,69.01662303664921
Tauchman,Mike,643565.0,2024,350,0.325,0.327,0.238,0.377,0.07400000000000001,0.41,0.6809999999999999,0.865,0.257,0.731,0.08900000000000001,0.474,19.65065502183406,102.43,34.93449781659388,67.52038980509747
Fraley,Jake,641584.0,2024,382,0.314,0.285,0.245,0.323,0.032,0.247,0.679,0.862,0.366,0.836,0.11599999999999999,0.47,13.074204946996467,101.4,35.3356890459364,70.40573770491804
Taylor,Tyrone,621438.0,2024,345,0.304,0.301,0.249,0.389,0.071,0.353,0.649,0.8909999999999999,0.361,0.665,0.10300000000000001,0.30400000000000005,11.20331950207469,105.2,35.26970954356847,68.94796084828712
Lowe,Josh,666139.0,2024,387,0.299,0.295,0.228,0.388,0.10300000000000001,0.461,0.614,0.809,0.368,0.703,0.139,0.33499999999999996,16.810344827586206,104.88000000000001,37.93103448275862,71.29482352941177
Rafaela,Ceddanne,678882.0,2024,571,0.286,0.273,0.229,0.368,0.075,0.369,0.584,0.797,0.495,0.787,0.187,0.29200000000000004,13.5678391959799,102.13,34.92462311557789,67.64652317880795
Yoshida,Masataka,807799.0,2024,421,0.336,0.322,0.258,0.394,0.055,0.375,0.747,0.9359999999999999,0.292,0.6559999999999999,0.06,0.36399999999999993,13.109756097560975,104.1,35.670731707317074,69.53258594917789
Kepler,Max,596146.0,2024,399,0.298,0.301,0.247,0.381,0.062,0.366,0.613,0.893,0.35600000000000004,0.76,0.115,0.40399999999999997,12.371134020618557,104.96000000000001,35.39518900343643,69.14626666666666
Lopez,Nicky,670032.0,2024,445,0.275,0.268,0.227,0.288,0.015,0.16899999999999998,0.6859999999999999,0.902,0.322,0.6890000000000001,0.087,0.36700000000000005,16.61721068249258,97.1,30.86053412462908,61.98716875871688
Stanton,Giancarlo,519317.0,2024,459,0.33,0.352,0.249,0.509,0.207,0.551,0.5529999999999999,0.785,0.344,0.6509999999999999,0.14800000000000002,0.30699999999999994,10.144927536231885,113.34,35.507246376811594,79.60704225352113
Rodgers,Brendan,663898.0,2024,539,0.314,0.296,0.248,0.378,0.055999999999999994,0.43799999999999994,0.563,0.879,0.32,0.721,0.11699999999999999,0.40099999999999997,10.21505376344086,105.7,33.064516129032256,69.61346801346801
Canha,Mark,592192.0,2024,462,0.31,0.288,0.212,0.306,0.033,0.374,0.7290000000000001,0.846,0.266,0.612,0.08199999999999999,0.346,9.602649006622517,101.8,31.788079470198678,66.52929427430094
Arcia,Orlando,606115.0,2024,602,0.273,0.261,0.206,0.323,0.053,0.37799999999999995,0.597,0.862,0.312,0.731,0.115,0.419,8.584686774941995,102.66,29.698375870069604,68.87986577181208
DeLuca,Jonny,676356.0,2024,362,0.269,0.272,0.23,0.318,0.039,0.28,0.687,0.8640000000000001,0.397,0.746,0.115,0.349,13.229571984435799,101.58,32.295719844357976,68.34326241134752
Burleson,Alec,676475.0,2024,595,0.319,0.329,0.273,0.435,0.065,0.415,0.742,0.888,0.387,0.782,0.094,0.395,14.01673640167364,103.0,34.10041841004184,69.40081300813007
Schanuel,Nolan,694384.0,2024,607,0.315,0.318,0.254,0.355,0.035,0.253,0.789,0.912,0.255,0.64,0.055,0.385,9.389671361502346,99.25,36.38497652582159,63.07938496583143
Urshela,Gio,570482.0,2024,461,0.281,0.302,0.264,0.389,0.049,0.282,0.7490000000000001,0.8740000000000001,0.39799999999999996,0.741,0.09699999999999999,0.343,11.78082191780822,100.87000000000002,38.082191780821915,66.39752808988763
Toro,Abraham,647351.0,2024,364,0.283,0.291,0.245,0.365,0.043,0.29600000000000004,0.727,0.94,0.348,0.6579999999999999,0.07200000000000001,0.30999999999999994,12.996389891696749,101.84,33.57400722021661,67.78679867986799
Martinez,J.D.,502110.0,2024,495,0.318,0.351,0.256,0.472,0.147,0.455,0.466,0.853,0.32,0.72,0.14400000000000002,0.39999999999999997,18.64406779661017,105.67,40.33898305084746,70.75914438502674
Marte,Starling,516782.0,2024,370,0.313,0.337,0.287,0.425,0.069,0.429,0.55,0.8590000000000001,0.33,0.7040000000000001,0.126,0.37400000000000005,9.652509652509652,105.48,36.67953667953668,69.64403100775193
Jr.,Luis,673357.0,2024,425,0.285,0.279,0.212,0.367,0.098,0.406,0.491,0.8140000000000001,0.389,0.7490000000000001,0.175,0.3600000000000001,13.043478260869565,106.5,35.177865612648226,72.84136191677175
Hernandez,Enrique,571771.0,2024,393,0.285,0.285,0.233,0.362,0.048,0.415,0.6509999999999999,0.851,0.3,0.722,0.106,0.422,15.972222222222221,102.7,35.06944444444444,69.91567489114658
Verdugo,Alex,657077.0,2024,621,0.283,0.302,0.25,0.374,0.055999999999999994,0.349,0.737,0.932,0.28300000000000003,0.629,0.06,0.346,15.690376569037657,102.7,31.799163179916317,66.35870488322718
Amaya,Miguel,665804.0,2024,363,0.283,0.301,0.252,0.373,0.047,0.33899999999999997,0.642,0.894,0.377,0.757,0.111,0.38,11.678832116788321,104.5,34.306569343065696,70.84787234042552
McCutchen,Andrew,457705.0,2024,515,0.325,0.327,0.227,0.421,0.11699999999999999,0.366,0.5589999999999999,0.809,0.21600000000000003,0.679,0.11,0.463,12.302839116719243,104.34,32.80757097791798,70.85428907168037
Brennan,Will,686823.0,2024,353,0.303,0.302,0.269,0.374,0.046,0.325,0.77,0.8909999999999999,0.38799999999999996,0.7509999999999999,0.086,0.36299999999999993,13.074204946996467,101.9,32.50883392226148,67.0078025477707
Diaz,Elias,553869.0,2024,351,0.303,0.28,0.242,0.343,0.047,0.345,0.5720000000000001,0.852,0.377,0.779,0.14300000000000002,0.402,9.30232558139535,105.6,30.620155038759687,72.07480438184663
